q13_text,q14_text,q15_text,q16_text,q17_text
molestar é o pior crime de todos,estuprar é muito pior do que bater carteira.,"crime contra idosos é um absurdo, igual aos contra crianças",estuprar um homem é mais violento do que molestar uma mulher,"mesmo que seja uma gangue, vale a pena matar um vagabundo desses"
em tese a polícia tem o monopólio da violência.,lei de talião.,a idade da vítima,idade da vítima.,idade da vítima
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"pq houve uma morte, mas nenhum dos casos realmente foram justos",por envolver idoso,idoso e estupro,assinou e estuprou,assassinou
NA,NA,NA,NA,NA
"não concordo com o linchamento, mas escolhi pensando que seria “mais” justificado uma gangue linchar do que a polícia (supostamente nunca poderia fazer isso)",NA,NA,NA,NA
pelo crime cometido,vitima é um idoso,"vitima idoso, acho cruel",assassinou,assassinou uma criança
idade do criminoso,linchadores,tipo de crime,tipo de crime,idade da vítima
a vitima era criança e os agressores foram a família,crime do caso 2 é mais grave,crime 2 é mais grave,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
a vítima é mulher e os vizinhos provavelmente a conheciam e tinham alguma relação de amizade com ela.,o tipo de crime e a fragilidade da vitima,tipo de crime e familiaridade dos vizinhos com a vitima,"tipo de crime, impossibilidade de defesa da vitima, traumas gerados na vitima",tipo de crime e idade da vitima
pela natureza do crime,gênero da vítima,linchadores,idade da vítima,idade da vítima
por ser assassinato,assassinato,assassinato,vítima criança,por ser estupro
NA,NA,NA,NA,NA
pelo tipo de crime,tipo de crime,tipo de crime,tipo de crime,tipo de crime
tipo de crime,tipo de crime,tipo de crime,tipo de crime,idade da vítima
porque abuso é terrível para a vítima,a mesma coisa de cima,é injustificävel a polícia agir de forma abusiva.,tudo por conta da molestia,"a mesma coisa. fui pelo tipo de crime. vítima, seja qual for, sofrerá para o resto da vida."
NA,NA,NA,NA,NA
criança é totalmente indefesa,essa questão foi muito difícil. escolhi o caso 2 pq tinha q escolher apenas 1 mas escolheria os 2 casos.,estupro é infinitamente mais sério q bate carteira.,estupro é infinitamente mais sério q bater carteira.,marcaria os dois casos.
"porque acho que crimes sexuais mexem mais comigo, principalmente por ser mulher",porque acho que o crime de estupro ainda mais contra uma criança deve ser repudiado,porque acho que a polícia não deve usar da força pra prender um criminoso,"porque o crime de assassinar alguém é muito grave, apesar de também achar que o crime de estupro tbm merecia",porque molestar criança pra mim é muito sério.
pelo fato so criminoso ter assassinado uma criança indefesa.,foi praticado contra um idoso e a família agiu movida por grande emoção.,"estupro de uma idosa, acredito ser inaceitável.",por ter sido realizado contra uma adolescente e os linchadores serem da família da vítima.,molestar criança é inaceitável.
o estupro costuma causar mais comoção.  o criminoso idoso gera menor resistência que o adolescente e menor risco aos linchadores que o assassino.,família agiria mais por impulso do que a polícia. também por não ser da localidade.,entendo que o linchamento é mais provável de acontecer por gangues e considerando ser a vítima mulher.,"linchadores vizinhos, conhecem a vítima,  vítima idosa gera mais comoção que adolescente. o assassino gera mais risco aos linchadores que o molestador.","bater a carteira tem menor risco a integridade da vítima,  causando maior revolta."
vítima idosa,assassinato,estupro,estupro,assassinato
"acredito família fez a justiça com as próprias mãos, talvez por acreditar que o criminoso não cumpriria pena, mas não sou a favor de linchamento",pelo fato de se tratar de criança,"escolhi esse porque entendi que estuprar é muito mais grave do que molestar, mas não sou a favor de linchamento","entendo roubo de carro mais grave do que bater carteira, mas não considero linchamento uma forma adequada de correção","roubo de carro justificaria um ato maior de revolta, mas não sou a favor de linchamento"
"a emoção do momento, justifica",a população em geral é mais propensa a emoções do momento. a polícia deve ser treinada para não se deixar levar pela emoção.,a polícia é paga para cumprir a lei.,estupro não tem justificativa. assassinato tem a emoção da hora e talvez algum motivo justificável,"bater a carteira pode ter uma justificativa, molestar não"
tipo de crime,tipo de crime,tipo de crime,idade da vítima,idade da vítima
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
porque tem tem gangues,porque tem  vítimas idosas,porque os linchadores são gangues,devido ao tipo de crime,nao há
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
escolhi devido a natureza do crime. na minha opinião molestar é mais grave do que roubar.,"pela natureza do crime e por quem cometeu o linchamento. como a justiça nem sempre é coerente, as gangues têm um poder paralelo.",gênero do criminoso e crime.,gênero do criminoso,não é o papel da polícia cometer linchamento
ppr que no segundo caso a pessoa está em plena forma pra procurar um emprego,pq o homem deveria saber que roubar não é o caminho cprreto,criança tem que ser ensinada desde cedo,"estrupo não tem justificativa para se tratar como uma doença, merece a morte na hora",pq não tem essa de pouca idade
NA,NA,NA,NA,NA
por que houve morte,por que molestou,por que foi sobre um idoso,por que houve morte,por que houve um estupro
"não se justifica, mas sou obrigado a opinar. temos uma morte. mas não se jutifica","não há justificativa. apenas vendo o crime mais grave, mas não se justifica","é o caso mais grave, mas nao se justifia","porque sou obrigado, mas não escolheria nenhum","caso mais grave, mas não se justifica"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
idoso,matou,estupro,mao sei,matou
escolhi o um mas não acho que linchamento seja justificado em nenhuma hipotese,escolhi por ser algo brutal mas nada justifica linchamento para isso existe as leis é justiça,NA,NA,NA
molestou criança,assassinou,molestou adolescente,roubou idoso,assassinou adolescente
pois achei o mais adequado,pois achei o mais adequado,pois achei mais adequado,goste mais,gostei mais
considero o crime do caso 2 mais grave.,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
e apenas uma criança,ele matou um inocente,assassinato,racismo,molestou uma idosas indefesa
NA,NA,NA,NA,NA
nä importa a idade. o que realmente importa é a crueldade do crime. entre bater carteira e tomar a infância ou até mesmo o resto da vida de uma criança é inaceitável,NA,NA,NA,NA
por causa do tipo de crime,novamente pelo tipo do crime.,pelo tipo de crime,tipo de crime,tipo de crime e idade do criminoso.
por causa da familia,preconceito contra negros,molestar,molestar nao é coisa de gente,respeitar os mais velhos
molestar é um crime hediondo,estupro é um crime hediondo,molestar é um crime hediondl,molestar é um crime hediondl,o crime foi pior que o do caso 2
o crime cometido é mais grave.,o crime é grave e hediondo.,o crime é muito pior do que no segundo caso.,o crime é mais grave do que no segundo caso.,o crime é mais grave e violento do que no segundo caso.
"apesar da idade, estrupo é um crime terrível","o caso foi escolhido pela vitima ser criança, apesar que, nunca se deve maltratar idosos, acho que um crime contra criança é mais forte",pela vitima ser criança.,pelo estupro e pela vitima ser criança.,pelo estupro e pela vitima ser criança.
na verdade não concordo com nenhum dos tipos de linchamento. mas entendo que um assassinato é mais forte que um roubo de carro.,pelo motivo do crime ser estupro.,pelo motivo do crime.,pela vítima ter sido um idoso(a).,pela vítima ter sido uma criança.
sem justificativa,"poderia deixar a justiça resolver,,","poderia deixar a justiça resolver,,",nemhum. ... por mais que seja revoltante. nao acho que um crime justifica outro,nemhum. ... por mais que seja revoltante. nao acho que um crime justifica outro
analisando os item,analisando os fatos,itens,pelos fatos ocorridos,itens
crime de estupro,assassinato é mais grave que roubo,vitima idoso que não pode se defender,crime de assassinato,estupro
por ter tido um assasinato,por mais uma vez ter tido um assasinato,por ter molestado uma pessoa,"queria colocar ambos os casos ,mas preferir o que assasinou",por ele ter molestado uma pessoa
pq é a maioria dos casos,é o que acontece com frequencia,na maioria dos casos,na maioria cos casos,é a maioria dos casos
algumas ações do caso 2 são mais pesadas levando a população a querer fazer justiça com as próprias mãos,acredito que quando se envolve a familia da vitima a revolta é maior,o ponto forte aqui acredito que seja a violência contra um idoso,estupro já é horrivel e contra criança ainda não tem perdão,também acho que é mais relevante o estupro contra crianças
o crime é de maior gravidade,o crime é de maior gravidade e como o linchamento foi praticado pela polícia então será possível punir os policiais pelos seus excessos,o crime é de maior gravidade,a vítima era criança então gera uma revolta ainda maior na população,"a vítima era uma idosa, isso gera uma revolta maior"
